21-81,20-96
14-80,14-79
87-89,7-88
82-93,44-82
61-93,62-86
80-94,4-80
66-90,89-91
9-70,10-10
95-97,26-96
82-87,61-88
10-75,11-74
29-95,14-96
6-47,41-48
29-75,28-28
18-74,1-17
10-89,52-89
68-68,27-67
56-96,11-56
3-10,11-99
25-46,11-47
3-95,96-96
14-38,37-38
6-89,5-49
14-76,7-76
26-94,26-98
2-89,3-90
56-76,55-77
1-98,2-99
16-59,16-17
18-97,27-97
74-79,75-78
21-83,21-84
56-65,63-73
22-56,22-55
21-96,22-94
7-89,7-88
19-57,53-56
11-45,10-12
5-74,3-73
63-85,77-84
2-91,1-84
20-79,21-80
76-95,77-96
23-23,2-23
3-3,4-98
4-67,17-66
26-61,25-91
1-1,2-87
4-92,4-99
13-98,8-13
31-74,38-73
9-39,38-39
63-74,62-74
65-91,9-64
1-85,1-86
14-22,23-23
19-78,79-79
24-42,25-41
10-54,9-9
6-96,3-4
39-97,38-38
48-58,59-77
13-13,14-22
97-98,3-98
10-92,9-9
69-71,77-90
1-99,99-99
24-25,25-82
8-92,3-8
20-91,19-98
34-89,90-90
56-56,56-95
16-17,17-80
13-97,10-99
10-98,10-88
13-76,76-77
8-70,15-69
15-95,95-95
21-37,27-36
53-64,7-52
15-84,34-84
60-60,17-60
5-94,2-3
1-1,2-90
68-70,70-97
62-64,4-63
6-97,5-98
77-90,73-77
21-22,22-23
91-97,96-97
11-96,12-28
42-63,42-62
31-73,14-81
72-72,4-71
10-75,9-76
7-7,8-89
51-96,52-97
23-32,5-33
2-82,2-83
1-99,91-98
6-95,7-94
16-63,16-17
65-95,99-99
3-98,56-97
82-84,1-83
89-89,67-88
37-70,95-97
33-34,4-33
4-92,63-92
3-88,2-88
14-93,13-13
34-36,35-70
10-32,31-75
8-38,7-38
43-54,43-62
6-8,7-14
5-99,1-98
29-52,51-52
12-58,44-84
18-96,19-35
19-37,18-20
2-3,3-3
1-55,1-56
94-97,20-75
44-86,98-98
20-61,88-92
28-92,13-78
49-95,50-50
18-62,61-63
47-81,46-82
12-59,12-60
77-77,27-77
6-91,5-64
87-87,1-86
6-23,6-22
13-99,13-98
69-98,13-96
3-68,2-95
28-87,31-88
26-91,25-94
6-78,31-77
12-85,12-69
25-27,26-26
60-60,11-60
18-97,1-96
3-96,2-95
1-95,2-93
17-49,34-68
3-56,1-4
2-99,25-97
4-80,2-5
6-79,10-87
16-18,14-21
42-79,80-80
20-59,21-58
98-99,75-99
55-73,24-74
